Canonical,Team,Numbers,Variations
Tombe Pitia,Ontario Tech,13,Tombe Pitia
Kaiden Thompson,Ontario Tech,2,Kaiden Thompson
TJ Richards,Ontario Tech,8,TJ Richards
Caleb Kassa,Ontario Tech,10,Caleb Kassa
Jaiden Kandasamy,Ontario Tech,11,Jaiden Kandasamy
Mark Stoop,Ontario Tech,15,Mark Stoop
Peter De La Paz,Ontario Tech,21,Peter De La Paz
Jesse Okeke,Ontario Tech,23/25/9,Jesse Okeke
Arjun Bassi,Ontario Tech,25,Arjun Bassi
Victor Bonsu,Concordia,5,Victor Bonsu
Sami Jahan,Concordia,9,Sami Jahan
Yohan Leger,Concordia,10,Yohan Leger
Karam Sahly,Concordia,15,Karam Sahly
Jaheem Joseph,Concordia,22,Jaheem Joseph
Anthony Gibson-Maxwell,Concordia,3/8,Anthony Gibson-Maxwell
Nino Lamborot,Concordia,6,Nino Lamborot
Zach Yan,Concordia,7,Zach Yan
Miguel Doyon_Jeremy,Concordia,8,Miguel Doyon_Jeremy
Giorgio Azzi,Concordia,12,Giorgio Azzi
Jahcob Rocan,Concordia,14,Jahcob Rocan
Ben Fewster,Concordia,20,Ben Fewster
Liam Ngos,Concordia,21,Liam Ngos
Manny Biden,Lethbridge,5,Manny Biden
Cole Steele,Lethbridge,8,Cole Steele
Holt Tomie,UBC,4,Holt Tomie
Toni Maric,UBC,9,Toni Maric
Gus Goerzen,UBC,10,Gus Goerzen
Tobi Akinkunmi,UBC,13,Tobi Akinkunmi
Karan Aujla,UBC,15,Karan Aujla
Nylan Roberts,UBC,0,Nylan Roberts
Kashie Ugoji,UBC,1/12,Kashie Ugoji
Zeru Abera,UBC,2,Zeru Abera
Raj Dhadda,UBC,7,Raj Dhadda
TJ Maveety,UBC,8,TJ Maveety; Tj Maveety
Edouard Gauthier,UBC,11,Edouard Gauthier
Jacob Antchak,UBC,14,Jacob Antchak
Isaac Simon,Alberta,3,Isaac Simon
Fahad Yusuf,Alberta,5,Fahad Yusuf
Nash Semeniuk,Alberta,9,Nash Semeniuk
Nate Waldron,Alberta,10,Nate Waldron
Kyle Varner,Alberta,11,Kyle Varner
Logan Powell,Alberta,1,Logan Powell
Kai Dunkley,Alberta,2,Kai Dunkley
Matthew Osunde,Alberta,4,Matthew Osunde
Owen Hickey,Alberta,8,Owen Hickey
Ethan Egert,Alberta,12,Ethan Egert
